url,name,born,died,alma_mater,education,influences,notable_ideas,contributions,doctoral_advisors,doctoral_students,image_url
https://en.wikipedia.org/wiki/Ludwig_Lachmann,Ludwig Lachmann,1906-02-01,(1990-12-17),[],[],"['Friedrich Hayek', 'Carl Menger', 'Max Weber', 'Ludwig von Mises', 'G. L. S. Shackle', 'Alfred Schütz', '1', 'Classical economics', 'French liberal school', 'Frédéric Bastiat', 'Jean-Baptiste Say', 'Gustave de Molinari', 'School of Salamanca']",[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Ludwig-lachmann-lecturing.png/220px-Ludwig-lachmann-lecturing.png
https://en.wikipedia.org/wiki/Arthur_Laffer,Arthur Laffer,1940-08-14,,[],"['Yale University', 'BA', 'Stanford University', 'MBA', 'PhD']",[],[],['Laffer curve'],['Ronald McKinnon'],[],https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Arthur_Laffer_2019.jpg/220px-Arthur_Laffer_2019.jpg
https://en.wikipedia.org/wiki/Rajiv_Kumar_(economist),Rajiv Kumar (economist),1951-07-06,,"['Delhi University', 'BA', 'University of Lucknow', 'PhD', 'University of Oxford', 'DPhil']",[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Maurice_Kugler,Maurice Kugler,1967-11-24,,"['University of California, Berkeley', 'London School of Economics and Political Science']",[],"['Paul Romer', 'Michael Kremer', 'Dani Rodrik', 'John Haltiwanger', 'Ricardo Hausmann']",[],[],"['Paul Romer', 'Pranab Bardhan', 'J. Bradford DeLong']",[],[]
https://en.wikipedia.org/wiki/Adriana_Kugler,Adriana Kugler,1969-10-23,,[],"['McGill University', 'BA', 'University of California, Berkeley', 'MA', 'PhD']",[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Lawrence_Kudlow,Larry Kudlow,1947-08-20,,[],"['University of Rochester', 'BA', 'Princeton University']",[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Per_Krusell,Per Krusell,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/David_M._Kreps,David M. Kreps,1950,,"['Dartmouth College', 'BA', 'Stanford University', 'PhD']",[],[],[],[],['Evan Lyle Porteus'],"['Chi-fu Huang', 'Robert Gibbons']",[]
https://en.wikipedia.org/wiki/Anne_Osborn_Krueger,Anne Osborn Krueger,1934-02-12,,[],"['Oberlin College', 'BA', 'University of Wisconsin–Madison', 'PhD']",[],[],[],[],['Zvi Eckstein'],[]
https://en.wikipedia.org/wiki/Simon_Kuznets,Simon Kuznets,1901-04-30,(1985-07-08),[],"['Kharkiv Institute of Commerce', 'Columbia University', 'BS', 'MA', 'PhD']",[],[],[],['Wesley Clair Mitchell'],"['Baidyanath Misra', 'Milton Friedman', 'Richard Easterlin', 'Stanley Engerman', 'Robert Fogel', 'Subramanian Swamy', 'Lance Taylor']",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Simon_Kuznets_1971b.jpg/220px-Simon_Kuznets_1971b.jpg
https://en.wikipedia.org/wiki/Peter_Kropotkin,Peter Kropotkin,1842-12-09,(1921-02-08),[],"['Corps of Pages', 'Saint Petersburg Imperial University', '1']",[],"['anarcho-communism', 'Mutual aid', 'wage labor']",[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Peter_Kropotkin_circa_1900.jpg/220px-Peter_Kropotkin_circa_1900.jpg
https://en.wikipedia.org/wiki/Michael_Kremer,Michael Kremer,1964-11-12,,['Harvard University'],[],[],[],"['O-ring theory of economic development', 'Randomized controlled trials']","['Robert Barro', 'Eric Maskin', 'Greg Mankiw']","['Edward Miguel', 'Seema Jayachandran', 'Karthik Muralidharan', 'Nava Ashraf', 'Benjamin Olken', 'Dina Pomeranz', 'Emily Oster', 'Asim Ijaz Khwaja']",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Kremer_bio.jpg/220px-Kremer_bio.jpg
https://en.wikipedia.org/wiki/Jan_Kregel,Jan Kregel,1944-04-19,,[],[],[],[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Jan_Kregel_-_2012.jpg/220px-Jan_Kregel_-_2012.jpg
https://en.wikipedia.org/wiki/Lawrence_B._Krause,Lawrence B. Krause,,,[],"['University of Michigan', 'Harvard University']",[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Roger_C._Kormendi,Roger C. Kormendi,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Naum_Krasner,Naum Krasner,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Tjalling_Koopmans,Tjalling C. Koopmans,1910-08-28,(1985-02-26),"['University of Utrecht', 'University of Leiden']",[],[],[],[],"['Hans Kramers', 'Jan Tinbergen']","['Carl Christ', 'Stanley Reiter', 'Rolf Mantel', 'es', 'Guillermo Calvo']",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/TjallingKoopmans1967.jpg/220px-TjallingKoopmans1967.jpg
https://en.wikipedia.org/wiki/Nikolai_Kondratiev,Nikolai Kondratiev,1892-03-04,(1938-09-17),['University of St. Petersburg'],[],"['Mikhail Tugan-Baranovsky', 'Alexander Sergeyevich Lappo-Danilevsky']",[],['Kondratiev waves'],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9A%D0%BE%D0%BD%D0%B4%D1%80%D0%B0%D1%82%D1%8C%D0%B5%D0%B2.JPG/220px-%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9A%D0%BE%D0%BD%D0%B4%D1%80%D0%B0%D1%82%D1%8C%D0%B5%D0%B2.JPG
https://en.wikipedia.org/wiki/Andrey_Korotayev,Andrey Korotayev,1961-02-17,,['Moscow State University'],[],[],[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Rift_Valley4.jpg/220px-Rift_Valley4.jpg
https://en.wikipedia.org/wiki/J%C3%A1nos_Kornai,János Kornai,1928-01-21,(2021-10-18),[],[],"['Mehrdad Vahabi', '2']",[],"['Theory of two-level planning', 'Shortage economy']",[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Janos_Kornai_2005.jpg/220px-Janos_Kornai_2005.jpg
https://en.wikipedia.org/wiki/John_Komlos,John Komlos,1944-12-28,,['University of Chicago'],[],['Robert Fogel'],[],['Economics and Human Biology'],[],[],https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Komlos.jpg/220px-Komlos.jpg
https://en.wikipedia.org/wiki/Leopold_Kohr,Leopold Kohr,,,[],[],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Narayana_Kocherlakota,Narayana Kocherlakota,1963-10-12,,[],"['Princeton University', 'BA', 'University of Chicago', 'MA', 'PhD']",[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Paul_Krugman,Paul Krugman,1953-02-28,,[],"['Yale University', 'BA', 'Massachusetts Institute of Technology', 'MA', 'PhD']","['William Nordhaus', '1', 'Rudi Dornbusch', '1', 'Robert Solow', '1', 'John Maynard Keynes', '1', 'David Hume', '2']",[],"['International trade theory', 'New trade theory', 'New economic geography']",['Rudi Dornbusch'],"['Tahir R. Andrabi', 'Richard Baldwin', 'Gordon Hanson', 'Matthew J. Slaughter']",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/P20230814AS-0367_%28cropped%29.jpg/220px-P20230814AS-0367_%28cropped%29.jpg
https://en.wikipedia.org/wiki/Klaas_Knot,Klaas Knot,1967-04-14,,[],['University of Groningen'],[],[],[],[],[],[]
https://en.wikipedia.org/wiki/Lilian_Knowles,Lilian Knowles,1870-10-09,(1926-04-25),[],[],[],[],[],[],[],https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Lilian_Knowles.jpg/220px-Lilian_Knowles.jpg
